id	PND	Forelimb_grasp	Forelimb_placing	Gait	Walk	Surface_T_(s)	NG_turn	NG_top	Auditory_startle	Tactile_startle	Air_righting	Wire	Weight_(g)	Ears_unfolding	Ears_twitch	Gait_b	Walk_b	Eyes_opened_left	Eyes_opened_right	Incisor_eruption
2	9	1	1	60.00	60.00	00.75	60.00	60.00	0	1	0	03.12	6.013	1	0	1	0	0	0	1
3	9	1	1	60.00	60.00	00.88	04.69	60.00	0	0	0	07.30	5.434	1	0	1	1	0	0	1
4	9	1	1	60.00	60.00	01.03	06.20	60.00	0	0	0	11.84	6.401	1	0	0	0	0	0	1
5	9	1	1	60.00	60.00	01.28	07.81	60.00	0	0	1	09.60	5.615	1	0	1	1	0	0	0
6	9	1	1	60.00	60.00	01.47	60.00	60.00	0	0	0	14.50	5.738	1	0	0	0	0	0	1
7	9	1	1	60.00	60.00	01.26	03.32	12.56	0	0	0	12.50	4.892	1	0	0	0	0	0	0
8	9	1	1	60.00	60.00	01.31	54.31	60.00	0	0	0	02.05	4.402	1	0	0	0	0	0	1
9	9	1	1	60.00	60.00	02.21	02.50	60.00	0	0	0	05.90	4.340	1	0	1	0	0	0	1
10	9	1	1	60.00	60.00	05.19	4.10	60.00	0	0	0	03.34	4.500	1	0	1	0	0	0	0
0	10	1	1	60.00	60.00	0.75	60.00	60.00	0	1	1	04.91	6.103	1	0	1	0	0	0	1
1	10	1	1	60.00	60.00	0.47	0.43	60.00	0	1	0	06.08	6.106	1	0	0	0	0	0	1
2	10	1	1	34.65	37.52	0.62	04.49	60.00	0	1	0	08.75	6.497	1	0	1	1	0	0	1
3	10	1	1	13.47	60.00	0.94	05.20	60.00	0	1	1	12.63	5.972	1	0	1	1	0	0	1
4	10	1	1	03.02	10.45	0.65	10.37	32.22	0	1	0	02.63	7.025	1	0	1	1	0	0	1
5	10	1	1	35.82	60.00	0.94	1.86	60.00	0	1	1	05.18	6.124	1	0	1	1	0	0	1
6	10	1	1	09.05	19.00	0.78	04.46	12.03	0	1	1	02.50	7.024	1	0	1	1	0	0	1
7	10	1	1	13.09	20.93	01.07	05.08	60.00	0	1	0	02.81	5.047	1	0	1	1	0	0	1
8	10	1	1	14.87	60.00	0.75	4.80	60.00	0	1	0	01.38	4.680	1	0	1	0	0	0	1
9	10	1	1	20.52	49.73	0.84	5.52	17.03	0	1	0	01.71	4.594	1	0	1	1	0	0	1
10	10	1	1	08.56	14.06	01.90	60.00	60.00	0	1	0	22.81	4.620	1	0	1	1	0	0	0
0	11	1	1	04.24	07.90	00.98	60.00	60.00	0	1	1	02.16	6.546	1	0	1	1	0	0	1
1	11	1	1	10.92	12.75	00.54	02.94	19.60	0	1	1	04.59	6.398	1	0	1	1	0	0	1
2	11	1	1	7.11	11.31	00.54	04.61	60.00	0	1	1	17.47	6.995	1	0	1	1	1	1	1
3	11	1	1	08.56	26.16	00.50	04.64	21.56	0	1	1	10.28	6.312	1	0	1	1	1	0	1
4	11	1	1	07.06	11.50	00.66	04.86	60.00	0	1	0	05.06	7.349	1	0	1	1	1	0	1
